name,IPH_norm,M_norm,kappa,rank_M
Mataraca,1.0,0.8144884025356505,0.4062296145442997,4
Baía da Traição,0.9806593187152445,0.7959750612543692,0.4111066647074246,11
Cabedelo,0.9367696012678416,0.7469321736697573,0.4364574526684411,33
João Pessoa,0.935646795357386,0.7365360705173579,0.4549868173380856,40
Lucena,0.9346367725612565,0.7529424009809756,0.4217467820949604,28
São José do Bonfim,0.9188011546243545,0.7962352337106584,0.32166468401489123,10
Marcação,0.9131003685076168,0.7508531702022052,0.39285094705909507,30
Santa Teresinha,0.8981026119269339,0.777209578145158,0.32351528078921316,20
Patos,0.8949157706340233,0.7809265061072904,0.3125417971882308,16
Mãe d'Água,0.8865725050462573,0.7590130778089348,0.33784606075850115,23
