name,SOLAR_IRRAD,group,IP_PB
São Bentinho,6.178662010766769,Bad/Good,1.0354387433608945
Mato Grosso,6.178662010766769,Bad/Good,1.0185421232708256
Vista Serrana,6.178662010766769,Bad/Good,1.0360876522506455
Pombal,6.1776739528694895,Bad/Good,1.018038539156685
Lagoa,6.177531288195294,Bad/Good,1.0138637523880523
Condado,6.177055551800484,Bad/Good,1.0481976490154576
Cajazeirinhas,6.176193936990848,Bad/Good,1.0235215370946493
São Domingos,6.174620493640005,Bad/Good,1.0081901751459796
Paulista,6.173838056943122,Bad/Good,1.019985771393364
Malta,6.172009968238157,Bad/Good,1.0496344087970209
