name,WIND_SPEED,group,IP_PB
Nova Floresta,5.899863923697657,Good/Bad,1.029799650067481
Picuí,5.895009496496587,Good/Bad,1.0893067743347946
Baraúna,5.887521569781936,Good/Bad,1.0405771708562186
Cuité,5.884654571108166,Good/Bad,0.984296412381003
Frei Martinho,5.883244537791815,Good/Good,1.1351972387037188
Sossêgo,5.867618046918264,Good/Bad,1.019741233849044
Nova Palmeira,5.862148817358285,Good/Good,1.1076410694764836
Pedra Lavrada,5.8582849210833245,Good/Bad,1.0813199407890262
Mataraca,5.852432539016733,Good/Good,1.120810056097695
Cubati,5.843578502129164,Good/Bad,1.0482453823968363
